feature,importance_gain
feature_1276,56.71770000457764
feature_806,56.42060089111328
feature_1112,56.23480033874512
feature_762,56.1830997467041
feature_410,55.82449913024902
feature_1221,54.51840114593506
feature_439,54.2870397567749
feature_1133,54.09114074707031
feature_125,53.63536071777344
feature_978,53.61790084838867
feature_327,53.55000114440918
feature_76,53.22641086578369
feature_781,53.218101501464844
feature_117,53.08866083621979
feature_1147,53.052730560302734
feature_135,52.4097204208374
feature_148,52.29982089996338
feature_328,52.10866928100586
feature_349,51.40060043334961
feature_896,51.31839942932129
feature_435,51.23639965057373
feature_551,50.829490184783936
feature_433,50.777299880981445
feature_280,50.205299377441406
feature_1119,50.07639980316162
feature_419,50.00949954986572
feature_51,49.96329879760742
feature_752,49.95222997665405
feature_382,49.451799392700195
feature_367,49.33840990066528
feature_347,49.09895944595337
feature_463,49.034799575805664
feature_1109,48.852500915527344
feature_472,48.84583044052124
feature_150,48.771841049194336
feature_77,48.628899574279785
feature_1365,48.56570053100586
feature_333,48.461700439453125
feature_1088,48.217499017715454
feature_734,47.539371490478516
feature_1169,47.231698989868164
feature_799,47.00327968597412
feature_82,46.966389656066895
feature_89,46.460299491882324
feature_810,46.40558910369873
feature_74,46.29282999038696
feature_475,46.11940097808838
feature_100,46.009700775146484
feature_111,45.95080089569092
feature_1113,45.75216007232666
feature_758,45.16580009460449
feature_1157,45.05459976196289
feature_236,44.4689998626709
feature_1177,44.367499351501465
feature_413,43.41310119628906
feature_537,43.408629417419434
feature_939,43.310279846191406
feature_782,43.23451042175293
feature_1117,42.73189926147461
feature_1357,42.47779846191406
feature_1250,42.27799987792969
feature_700,42.09419918060303
feature_356,41.49939685287609
feature_250,41.491700172424316
feature_178,40.893399238586426
feature_1001,40.76619911193848
feature_1082,40.282400131225586
feature_1131,40.27896022796631
feature_332,40.20680046081543
feature_420,39.588600158691406
feature_285,39.545899391174316
feature_1270,39.3996000289917
feature_1066,39.171199798583984
feature_1165,38.85129928588867
feature_743,38.82069969177246
feature_370,38.31949996948242
feature_771,38.24240016937256
feature_65,38.03286075592041
feature_362,37.82560062408447
feature_1163,37.27690029144287
feature_1343,37.18079948425293
feature_187,36.17880058288574
feature_1123,35.89649963378906
feature_1320,35.76341915130615
feature_235,35.3838996887207
feature_802,35.16520118713379
feature_555,34.702091217041016
feature_1245,34.624199867248535
feature_388,34.448349952697754
feature_256,34.353870831779204
feature_122,34.234999656677246
feature_768,34.23459053039551
feature_798,34.15927028656006
feature_1194,34.05645942687988
feature_371,34.015000343322754
feature_64,33.92449951171875
feature_444,33.25151968002319
feature_756,33.19805960642407
