feature,corr_value
feature_371,0.008518266497853911
feature_1100,0.008483656970173227
feature_1176,0.008459779963969802
feature_217,0.0084513847072496
feature_245,0.00844832143660713
feature_1185,0.00844751536775259
feature_66,0.00841863583629213
feature_1140,0.008418035563618495
feature_109,0.008364016366065034
feature_832,0.008313896501552738
feature_150,0.008296012937348581
feature_896,0.00821943792982941
feature_438,0.007997250300478383
feature_1217,0.00790287313288481
feature_1101,0.00789760511874337
feature_1196,0.007867229175812635
feature_122,0.007782988871054279
feature_21,0.0077688131464278805
feature_107,0.007767083750217266
feature_1178,0.007735735238432517
feature_403,0.007706311843775195
feature_1179,0.007675035616047879
feature_314,0.007582668579631788
feature_423,0.007581795000886604
feature_65,0.007537365914176839
feature_135,0.007512497987164287
feature_1145,0.007495462767456071
feature_1099,0.007487418576805568
feature_89,0.007485286308476572
feature_78,0.007484513038682644
feature_142,0.007477497245217515
feature_237,0.007383251414532654
feature_743,0.007352635685727055
feature_1146,0.0073152704303318964
feature_349,0.0073127105066885
feature_831,0.0072987526884061345
feature_91,0.007275325528483325
feature_311,0.007203871044881625
feature_408,0.0071854454837249416
feature_1215,0.007057207263478887
feature_116,0.007016021853451326
feature_1076,0.00700534207000692
feature_1212,0.006985625648341977
feature_430,0.006969484436191577
feature_341,0.006956481631014518
feature_1244,0.006948357572529928
feature_885,0.006928774936387388
feature_1256,0.006925504718401135
feature_1175,0.006918264308232692
feature_124,0.006899838962114014
feature_20,0.00684680025013089
feature_1233,0.006844962568135448
feature_317,0.006812174407904176
feature_1203,0.006681495208198858
feature_1223,0.0066684275024612855
feature_318,0.006615424414839104
feature_1177,0.006614742758956034
feature_1078,0.0065969502122167345
feature_1144,0.006552381778226631
feature_1143,0.006538966888990261
feature_73,0.006518786829909642
feature_1230,0.006514422610148536
feature_168,0.006494555219008249
feature_824,0.006493211158509214
feature_1189,0.006409455101000204
feature_755,0.006340945702251727
feature_1190,0.006336989838685558
feature_252,0.0063252451469241015
feature_439,0.006309802979022825
feature_1248,0.006299186154180109
feature_464,0.006263577816470717
feature_1365,0.006236700488684515
feature_1111,0.006227485269820775
feature_559,0.00622320518295892
feature_105,0.006152653123789388
feature_1211,0.006144311071281669
feature_296,0.0061439267321733385
feature_1238,0.006088572870176023
feature_1241,0.006042175105292852
feature_387,0.006025610001001436
feature_749,0.006020415680144681
feature_805,0.00600597813213932
feature_1191,0.00598524591265947
feature_432,0.005982854618819829
feature_1124,0.005909994822427072
feature_1172,0.00588326131916607
feature_420,0.005880118300575712
feature_313,0.005823321962717557
feature_219,0.0058136983630222945
feature_1197,0.005762233453367815
feature_297,0.0057545470818691135
feature_833,0.005728563130447175
feature_64,0.005706415794361875
feature_9,0.0056792948962171175
feature_338,0.005671819619724608
feature_103,0.005664679156102178
feature_259,0.005652122734070942
feature_80,0.005628453560951357
feature_1170,0.005611212433657628
feature_404,0.005596841175017114
feature_776,0.005576271183056903
feature_44,0.005570691371091712
feature_397,0.005567541593185462
feature_148,0.0055612893099401504
feature_1118,0.005515718999234952
feature_1271,0.005488591890864766
feature_1232,0.005483592429775961
feature_134,0.00546446927579228
feature_1363,0.005459792679145693
feature_332,0.005457344737907991
feature_1186,0.005447714412038518
feature_222,0.005446251038097353
feature_1313,0.005438427242437526
feature_437,0.0054343989415791445
feature_425,0.0054211697006335295
feature_1169,0.0054115384973114035
feature_638,0.005406461852746519
feature_1245,0.005399875253460625
feature_413,0.005395682821475523
feature_1174,0.005392141573605028
feature_1108,0.005373848864686491
feature_1198,0.005369151212996249
feature_1112,0.005368789282061163
feature_1249,0.005351212451734003
feature_422,0.005339636933515124
feature_31,0.005332019679135317
feature_1068,0.005310761950312248
feature_1207,0.005302779038962203
feature_1105,0.00529699425541681
feature_1033,0.005292071721471208
feature_264,0.0052904566923711845
feature_1171,0.0052796778212535304
feature_24,0.005269578430728428
feature_82,0.005263858289508556
feature_1280,0.005212610068311057
feature_1085,0.005165813855177385
